id,Recencia,Monetizacao,Frequencia,R,F,M,Score_RFM,Segmento_RFM,Segmento de cliente,Marketing Action
59,305,3800.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
60,1623,24.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
61,2120,89.0,1,1,2,1,4,121,Clientes quase perdidos,Promoções direcionadas
62,1304,600.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
63,1856,120.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
64,1473,2500.0,1,2,2,4,8,224,Clientes leais que compram com frequência,Promoções direcionadas
65,1867,1800.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
66,341,85.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
67,1864,1400.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
68,1298,90.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
69,294,70.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
70,261,3900.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
71,1866,1980.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
72,915,450.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
73,2137,2000.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
74,1371,1300.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
75,1250,24.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
76,1829,1500.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
77,869,99.0,1,3,2,1,6,321,clientes leais,Promoções direcionadas
78,524,98.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
79,559,90.0,1,3,2,1,6,321,clientes leais,Promoções direcionadas
80,491,2600.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
81,1384,1500.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
82,1474,90.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
83,1650,245.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
84,391,2500.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
85,624,99.0,1,3,2,1,6,321,clientes leais,Promoções direcionadas
86,2118,3099.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
87,989,89.0,1,3,2,1,6,321,clientes leais,Promoções direcionadas
88,791,1500.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
89,43,99.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
90,2011,180.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
91,777,137.0,1,3,2,2,7,322,clientes leais,Promoções direcionadas
92,268,90.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
93,1508,1400.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
94,1433,1500.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
95,1971,3600.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
96,822,134.0,1,3,2,2,7,322,clientes leais,Promoções direcionadas
97,857,980.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
98,905,550.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
99,821,3500.0,1,3,2,4,9,324,Clientes leais que compram com frequência,Promoções direcionadas
100,1000,300.0,1,3,2,2,7,322,clientes leais,Promoções direcionadas
101,1484,199.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
102,657,800.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
103,737,1150.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
104,2086,1300.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
105,398,1800.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
106,198,156.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
107,1548,4200.0,1,2,2,4,8,224,Clientes leais que compram com frequência,Promoções direcionadas
108,1556,980.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
109,680,310.0,1,3,2,2,7,322,clientes leais,Promoções direcionadas
110,886,80.0,1,3,2,1,6,321,clientes leais,Promoções direcionadas
111,1781,430.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
112,1343,139.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
113,1573,600.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
114,522,89.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
115,1008,5400.0,1,3,2,4,9,324,Clientes leais que compram com frequência,Promoções direcionadas
116,806,2500.0,1,3,2,4,9,324,Clientes leais que compram com frequência,Promoções direcionadas
117,461,156.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
118,216,3800.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
119,1572,250.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
120,858,78.0,1,3,2,1,6,321,clientes leais,Promoções direcionadas
121,2052,69.0,1,1,2,1,4,121,Clientes quase perdidos,Promoções direcionadas
122,1576,87.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
123,1787,3300.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
124,691,3500.0,1,3,2,4,9,324,Clientes leais que compram com frequência,Promoções direcionadas
125,309,1300.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
126,737,32.0,1,3,2,1,6,321,clientes leais,Promoções direcionadas
127,1995,450.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
128,1388,350.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
129,178,2300.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
130,1316,45.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
131,782,145.0,1,3,2,2,7,322,clientes leais,Promoções direcionadas
132,1556,1090.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
133,1654,3500.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
134,784,80.0,1,3,2,1,6,321,clientes leais,Promoções direcionadas
135,642,430.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
136,395,2900.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
137,807,1400.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
138,1941,2800.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
139,1299,2700.0,1,2,2,4,8,224,Clientes leais que compram com frequência,Promoções direcionadas
140,1899,24.0,1,1,2,1,4,121,Clientes quase perdidos,Promoções direcionadas
141,476,45.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
142,587,1300.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
143,103,760.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
144,2102,120.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
145,368,1100.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
146,1819,450.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
147,864,56.0,1,3,2,1,6,321,clientes leais,Promoções direcionadas
148,847,1000.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
149,1236,1800.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
150,2049,137.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
151,1031,500.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
152,0,3100.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
153,1507,450.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
154,476,99.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
155,318,300.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
156,1392,34.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
157,225,3900.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
158,47,34.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
159,187,800.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
160,1025,2500.0,1,3,2,4,9,324,Clientes leais que compram com frequência,Promoções direcionadas
161,1926,600.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
162,1495,2500.0,1,2,2,4,8,224,Clientes leais que compram com frequência,Promoções direcionadas
163,1859,2500.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
164,714,2000.0,1,3,2,4,9,324,Clientes leais que compram com frequência,Promoções direcionadas
165,794,650.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
166,1721,37.0,1,1,2,1,4,121,Clientes quase perdidos,Promoções direcionadas
167,1013,1200.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
168,1234,120.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
169,2142,1300.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
170,50,2300.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
171,169,1980.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
172,1182,3099.0,1,2,2,4,8,224,Clientes leais que compram com frequência,Promoções direcionadas
173,2147,310.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
174,1220,700.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
175,664,310.0,1,3,2,2,7,322,clientes leais,Promoções direcionadas
176,1989,3199.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
177,1163,38.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
178,312,210.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
179,597,2600.0,1,3,2,4,9,324,Clientes leais que compram com frequência,Promoções direcionadas
180,1130,1800.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
181,1498,240.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
182,1451,30.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
183,268,3100.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
184,264,1350.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
185,521,1300.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
186,178,300.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
187,95,1200.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
188,1076,430.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
189,1962,3100.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
190,1409,600.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
191,1749,560.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
192,1905,2750.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
193,340,79.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
194,877,98.0,1,3,2,1,6,321,clientes leais,Promoções direcionadas
195,2080,2300.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
196,1111,650.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
197,2043,1600.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
198,350,32.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
199,39,120.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
200,600,120.0,1,3,2,2,7,322,clientes leais,Promoções direcionadas
201,1235,3600.0,1,2,2,4,8,224,Clientes leais que compram com frequência,Promoções direcionadas
202,1909,4300.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
203,103,98.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
204,1801,89.0,1,1,2,1,4,121,Clientes quase perdidos,Promoções direcionadas
205,1484,5400.0,1,2,2,4,8,224,Clientes leais que compram com frequência,Promoções direcionadas
206,1361,109.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
207,103,145.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
208,2111,78.0,1,1,2,1,4,121,Clientes quase perdidos,Promoções direcionadas
209,1165,99.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
210,155,310.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
211,429,2300.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
212,137,24.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
213,935,650.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
214,2029,2800.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
215,2079,79.0,1,1,2,1,4,121,Clientes quase perdidos,Promoções direcionadas
216,240,700.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
217,203,1800.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
218,1359,240.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
219,1298,1800.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
220,1095,43.0,1,3,2,1,6,321,clientes leais,Promoções direcionadas
221,701,3500.0,1,3,2,4,9,324,Clientes leais que compram com frequência,Promoções direcionadas
222,1269,2600.0,1,2,2,4,8,224,Clientes leais que compram com frequência,Promoções direcionadas
223,1064,48.0,1,3,2,1,6,321,clientes leais,Promoções direcionadas
224,2177,300.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
225,1140,176.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
226,163,1400.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
227,1446,98.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
228,427,2300.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
229,891,430.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
230,1962,600.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
231,1657,30.0,1,1,2,1,4,121,Clientes quase perdidos,Promoções direcionadas
232,1468,310.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
233,476,1100.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
234,2114,1500.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
235,951,99.0,1,3,2,1,6,321,clientes leais,Promoções direcionadas
236,1508,2800.0,1,2,2,4,8,224,Clientes leais que compram com frequência,Promoções direcionadas
237,108,1900.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
238,2074,2900.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
239,885,37.0,1,3,2,1,6,321,clientes leais,Promoções direcionadas
240,2101,550.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
241,263,3200.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
242,1740,99.0,1,1,2,1,4,121,Clientes quase perdidos,Promoções direcionadas
243,1936,1500.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
244,1991,1200.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
245,539,1500.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
246,407,1000.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
247,504,89.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
248,1382,134.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
249,137,3300.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
250,208,500.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
251,264,120.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
252,785,450.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
253,345,3500.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
254,894,89.0,1,3,2,1,6,321,clientes leais,Promoções direcionadas
255,617,176.0,1,3,2,2,7,322,clientes leais,Promoções direcionadas
256,1396,45.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
257,1844,1900.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
258,585,1900.0,1,3,2,4,9,324,Clientes leais que compram com frequência,Promoções direcionadas
259,2016,560.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
260,1882,2300.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
261,1472,180.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
262,2088,78.0,1,1,2,1,4,121,Clientes quase perdidos,Promoções direcionadas
263,860,600.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
264,77,2500.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
265,587,1800.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
266,1000,360.0,1,3,2,2,7,322,clientes leais,Promoções direcionadas
267,1770,180.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
268,1193,250.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
269,1620,250.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
270,494,300.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
271,814,500.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
272,1151,2500.0,1,2,2,4,8,224,Clientes leais que compram com frequência,Promoções direcionadas
273,1335,1200.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
274,342,1300.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
275,691,1870.0,1,3,2,4,9,324,Clientes leais que compram com frequência,Promoções direcionadas
276,1156,60.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
277,690,90.0,1,3,2,1,6,321,clientes leais,Promoções direcionadas
278,509,48.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
279,1934,90.0,1,1,2,1,4,121,Clientes quase perdidos,Promoções direcionadas
280,264,2900.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
281,1940,300.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
282,2108,600.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
283,2101,2300.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
284,743,1150.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
285,326,650.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
286,1652,1400.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
287,2119,134.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
288,356,310.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
289,348,90.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
290,2049,59.0,1,1,2,1,4,121,Clientes quase perdidos,Promoções direcionadas
291,1312,600.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
292,1340,290.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
293,294,69.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
294,2004,1900.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
295,452,2500.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
296,1715,3199.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
297,828,1350.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
298,712,139.0,1,3,2,2,7,322,clientes leais,Promoções direcionadas
299,1681,3500.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
300,1749,99.0,1,1,2,1,4,121,Clientes quase perdidos,Promoções direcionadas
301,1769,980.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
302,1210,199.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
303,2063,450.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
304,1604,45.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
305,1240,650.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
306,237,1800.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
307,1431,78.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
308,1408,56.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
309,1274,290.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
310,93,78.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
311,2011,3300.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
312,716,80.0,1,3,2,1,6,321,clientes leais,Promoções direcionadas
313,699,145.0,1,3,2,2,7,322,clientes leais,Promoções direcionadas
314,1255,1980.0,1,2,2,4,8,224,Clientes leais que compram com frequência,Promoções direcionadas
315,640,3500.0,1,3,2,4,9,324,Clientes leais que compram com frequência,Promoções direcionadas
316,571,2800.0,1,3,2,4,9,324,Clientes leais que compram com frequência,Promoções direcionadas
317,278,37.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
318,82,120.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
319,927,189.0,1,3,2,2,7,322,clientes leais,Promoções direcionadas
320,405,120.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
321,1625,99.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
322,534,99.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
323,1278,400.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
324,1585,1400.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
325,1659,300.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
326,4,450.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
327,694,3199.0,1,3,2,4,9,324,Clientes leais que compram com frequência,Promoções direcionadas
328,775,2500.0,1,3,2,4,9,324,Clientes leais que compram com frequência,Promoções direcionadas
329,1743,1800.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
330,1134,2900.0,1,2,2,4,8,224,Clientes leais que compram com frequência,Promoções direcionadas
331,1095,800.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
332,1962,1900.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
333,269,37.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
334,1745,145.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
335,1436,2500.0,1,2,2,4,8,224,Clientes leais que compram com frequência,Promoções direcionadas
336,11,290.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
337,717,137.0,1,3,2,2,7,322,clientes leais,Promoções direcionadas
338,1953,1090.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
339,1819,78.0,1,1,2,1,4,121,Clientes quase perdidos,Promoções direcionadas
340,688,800.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
